session,task,da,believes_is_better_than_partner_A_yes,believes_is_better_than_partner_A_no,believes_is_better_than_partner_B_yes,believes_is_better_than_partner_B_no,bored_with_game_A_yes,bored_with_game_A_no,bored_with_game_B_yes,bored_with_game_B_no,difficult_for_partner_to_speak_A_yes,difficult_for_partner_to_speak_A_no,difficult_for_partner_to_speak_B_yes,difficult_for_partner_to_speak_B_no,directs_the_conversation_A_yes,directs_the_conversation_A_no,directs_the_conversation_B_yes,directs_the_conversation_B_no,contributes_to_successful_completion_A_yes,contributes_to_successful_completion_A_no,contributes_to_successful_completion_B_yes,contributes_to_successful_completion_B_no,frustrated_with_partner_A_yes,frustrated_with_partner_A_no,frustrated_with_partner_B_yes,frustrated_with_partner_B_no,frustrated_with_game_A_yes,frustrated_with_game_A_no,frustrated_with_game_B_yes,frustrated_with_game_B_no,engaged_in_game_A_yes,engaged_in_game_A_no,engaged_in_game_B_yes,engaged_in_game_B_no,gives_encouragement_A_yes,gives_encouragement_A_no,gives_encouragement_B_yes,gives_encouragement_B_no,making_self_clear_A_yes,making_self_clear_A_no,making_self_clear_B_yes,making_self_clear_B_no,planning_what_to_say_A_yes,planning_what_to_say_A_no,planning_what_to_say_B_yes,planning_what_to_say_B_no,polite_A_yes,polite_A_no,polite_B_yes,polite_B_no,dislikes_partner_A_yes,dislikes_partner_A_no,dislikes_partner_B_yes,dislikes_partner_B_no,trying_to_be_liked_A_yes,trying_to_be_liked_A_no,trying_to_be_liked_B_yes,trying_to_be_liked_B_no,trying_to_dominate_A_yes,trying_to_dominate_A_no,trying_to_dominate_B_yes,trying_to_dominate_B_no,conversation_awkward_yes,conversation_awkward_no,flow_naturally_yes,flow_naturally_no,hard_time_understanding_each_other_yes,hard_time_understanding_each_other_no,like_more_A,like_more_B,rather_have_as_a_partner_A,rather_have_as_a_partner_B,directing_the_conversation_A,directing_the_conversation_B,dominates_the_conversation_A,dominates_the_conversation_B,likes_the_other_person_more_A,likes_the_other_person_more_B,acting_superior_A,acting_superior_B,more_polite_A,more_polite_B,more_frustrated_A,more_frustrated_B
1,1,"sd fo_o_fw_""_by_bc fo_o_fw_""_by_bc I- I- I- I- I- I- I- I- I- sd I- I- I- I- I- I- I- % I- I- I- I- I- I- I- sd I- I- I- I- sd O I- I- I- I- I- I- I- sd O I- sd O b b O I- I- I- I- sd sd",0,5,1,4,1,4,0,5,0,5,0,5,4,1,1,4,5,0,5,0,0,5,0,5,1,4,0,5,5,0,5,0,5,0,3,2,4,1,5,0,4,1,4,1,5,0,5,0,1,4,0,5,2,3,2,3,0,5,0,5,0,5,5,0,0,5,3,2,3,2,4,1,5,0,5,0,3,2,3,2,3,2
1,2,"sd fo_o_fw_""_by_bc fo_o_fw_""_by_bc I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- sd sd I- I- sd sd",0,5,1,4,2,3,1,4,0,5,0,5,5,0,1,4,4,1,2,3,0,5,1,4,0,5,0,5,5,0,3,2,2,3,2,3,4,1,2,3,3,2,0,5,4,1,3,2,0,5,1,4,1,4,0,5,1,4,0,5,2,3,4,1,0,5,4,1,3,2,4,1,5,0,4,1,2,3,1,4,3,2
1,3,"sd fo_o_fw_""_by_bc fo_o_fw_""_by_bc I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- O I- I- % O I- sd % O I- I- I- I- I- sd sd O b sd",0,5,1,4,1,4,1,4,0,5,0,5,4,1,1,4,5,0,5,0,0,5,1,4,0,5,1,4,4,1,5,0,4,1,2,3,5,0,5,0,4,1,3,2,5,0,5,0,0,5,1,4,2,3,1,4,0,5,0,5,0,5,4,1,0,5,3,2,4,1,3,2,3,2,3,2,2,3,2,3,2,3
1,4,"sd fo_o_fw_""_by_bc fo_o_fw_""_by_bc I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- sd % I- fo_o_fw_""_by_bc sd",2,3,0,5,1,4,4,1,0,5,0,5,5,0,0,5,5,0,2,3,1,4,0,5,1,4,0,5,5,0,2,3,2,3,3,2,4,1,4,1,4,1,1,4,5,0,5,0,0,5,0,5,0,5,0,5,1,4,0,5,1,4,4,1,0,5,5,0,5,0,5,0,5,0,3,2,5,0,4,1,5,0
1,5,"sd fo_o_fw_""_by_bc fo_o_fw_""_by_bc fo_o_fw_""_by_bc fo_o_fw_""_by_bc fo_o_fw_""_by_bc I- I- I- I- I- I- I- I- I- I- I- I- sd sd",0,5,1,4,1,4,0,5,0,5,2,3,0,5,5,0,3,2,5,0,1,4,1,4,1,4,0,5,2,3,5,0,1,4,2,3,3,2,5,0,2,3,2,3,4,1,4,1,1,4,0,5,1,4,1,4,0,5,3,2,1,4,3,2,1,4,2,3,1,4,0,5,0,5,2,3,1,4,2,3,4,1
1,6,"sd fo_o_fw_""_by_bc fo_o_fw_""_by_bc I- I- I- I- I- I- I- I- sd I- sd sd I- I- I- I- I- I- sd sd I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- sd sd",1,4,2,3,3,2,0,5,0,5,1,4,0,5,5,0,5,0,5,0,0,5,2,3,1,4,2,3,4,1,5,0,3,2,1,4,1,4,4,1,2,3,4,1,5,0,4,1,0,5,2,3,0,5,0,5,0,5,2,3,2,3,4,1,0,5,4,1,2,3,0,5,1,4,3,2,0,5,1,4,3,2
1,7,"sd fo_o_fw_""_by_bc fo_o_fw_""_by_bc I- I- I- I- I- I- I- I- I- I- I- I- I- sd sd I- fo_o_fw_""_by_bc sd sd",1,4,1,4,1,4,0,5,1,4,0,5,0,5,5,0,4,1,4,1,0,5,0,5,0,5,0,5,4,1,5,0,3,2,0,5,4,1,5,0,2,3,4,1,5,0,5,0,0,5,0,5,2,3,1,4,0,5,3,2,0,5,5,0,0,5,1,4,0,5,0,5,0,5,2,3,1,4,1,4,2,3
1,8,"sd fo_o_fw_""_by_bc fo_o_fw_""_by_bc fo_o_fw_""_by_bc O fo_o_fw_""_by_bc I- I- I- I- I- I- I- sd I- I- I- I- I- sd sd O I- I- b b O I- I- I- I- I- I- I- sd I- I- sd",2,3,1,4,2,3,0,5,0,5,0,5,0,5,5,0,2,3,5,0,1,4,1,4,1,4,0,5,3,2,5,0,2,3,3,2,4,1,4,1,1,4,3,2,4,1,5,0,1,4,1,4,1,4,4,1,0,5,2,3,2,3,3,2,0,5,3,2,3,2,0,5,0,5,1,4,0,5,2,3,2,3
1,9,"sd fo_o_fw_""_by_bc fo_o_fw_""_by_bc I- I- I- I- I- I- I- I- I- sd I- I- I- I- I- I- I- I- sd sd O I- I- % O I- I- I- % I- I- I- I- I- sd sd",1,4,0,5,0,5,0,5,0,5,0,5,5,0,0,5,5,0,2,3,0,5,0,5,0,5,0,5,5,0,2,3,4,1,3,2,5,0,3,2,3,2,1,4,5,0,5,0,0,5,0,5,3,2,2,3,0,5,0,5,0,5,5,0,0,5,4,1,4,1,5,0,5,0,4,1,4,1,2,3,3,2
1,10,"sd fo_o_fw_""_by_bc fo_o_fw_""_by_bc I- I- I- I- I- I- I- I- I- I- sd I- I- I- I- I- I- I- I- sd I- I- I- I- I- I- sd I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- sd I- I- I- I- I- I- I- I- % I- I- I- % O fo_o_fw_""_by_bc I- I- I- I- I- bf I- I- I- I- I- bf % O b b O I- I- I- I- sd sd O b b O I- sd sd O I- sd sd O I- % O I- % % O I- I- I- I- I- I- I- sd sd O I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- I- sd I- I- I- sd sd O I- I- I- I- bf I- I- I- b O I- I- I- I- I- I- I- I- I- I- sd I- sd I- I- I- sd sd O I- sd I- I- I- I- I- I- sd sd O I- % b I- % b I- % I- I- aa % I- I- I- I- I- I- I- I- I- I- sd I- I- I- I- I- I- I- I- I- sd O I- b I- I- I- I- I- I- I- I- I- I- I- sd sd O I- I- I- I- I- ^2 b % O I- % O I- % % O I- % O I- I- I- I- I- I- sd sd O b sd",2,3,2,3,0,5,0,5,1,4,2,3,2,3,3,2,5,0,3,2,0,5,3,2,0,5,3,2,5,0,5,0,5,0,2,3,5,0,3,2,3,2,0,5,5,0,5,0,0,5,1,4,1,4,2,3,0,5,4,1,2,3,4,1,3,2,5,0,4,1,2,3,0,5,3,2,1,4,1,4,0,5
